idx,class,orignal_img_path,original_mask_path
0,rainforest,./data/FirstBatch/images/rainforest_00000475.jpg,./data/FirstBatch/labels/rainforest_00000475_maskSA_8.jpg
2,rainforest,./data/FirstBatch/images/rainforest_00000475.jpg,./data/FirstBatch/labels/rainforest_00000475_maskBox_0.jpg
4,rainforest,./data/FirstBatch/images/rainforest_00000475.jpg,./data/FirstBatch/labels/rainforest_00000475_maskSA_3.jpg
5,rainforest,./data/FirstBatch/images/rainforest_00000475.jpg,./data/FirstBatch/labels/rainforest_00000475_maskBox_1.jpg
6,rainforest,./data/FirstBatch/images/rainforest_00000475.jpg,./data/FirstBatch/labels/rainforest_00000475_maskBox_3.jpg
7,rainforest,./data/FirstBatch/images/rainforest_00000475.jpg,./data/FirstBatch/labels/rainforest_00000475_maskSA_1.jpg
8,rainforest,./data/FirstBatch/images/rainforest_00000475.jpg,./data/FirstBatch/labels/rainforest_00000475_maskSA_0.jpg
9,rainforest,./data/FirstBatch/images/rainforest_00000475.jpg,./data/FirstBatch/labels/rainforest_00000475_maskBox_2.jpg
10,rainforest,./data/FirstBatch/images/rainforest_00000475.jpg,./data/FirstBatch/labels/rainforest_00000475_maskSA_4.jpg
11,rainforest,./data/FirstBatch/images/rainforest_00000475.jpg,./data/FirstBatch/labels/rainforest_00000475_maskSA_5.jpg
12,rainforest,./data/FirstBatch/images/rainforest_00000475.jpg,./data/FirstBatch/labels/rainforest_00000475_maskSA_7.jpg
13,rainforest,./data/FirstBatch/images/rainforest_00000475.jpg,./data/FirstBatch/labels/rainforest_00000475_maskSA_6.jpg
14,rainforest,./data/FirstBatch/images/rainforest_00000475.jpg,./data/FirstBatch/labels/rainforest_00000475_maskBox_4.jpg
15,rainforest,./data/FirstBatch/images/rainforest_00000475.jpg,./data/FirstBatch/labels/rainforest_00000475_maskSA_14.jpg
16,rainforest,./data/FirstBatch/images/rainforest_00000475.jpg,./data/FirstBatch/labels/rainforest_00000475_maskSA_13.jpg
17,rainforest,./data/FirstBatch/images/rainforest_00000475.jpg,./data/FirstBatch/labels/rainforest_00000475_maskSA_12.jpg
18,rainforest,./data/FirstBatch/images/rainforest_00000475.jpg,./data/FirstBatch/labels/rainforest_00000475_maskSA_10.jpg
19,rainforest,./data/FirstBatch/images/rainforest_00000475.jpg,./data/FirstBatch/labels/rainforest_00000475_maskSA_11.jpg
21,canyon,./data/FirstBatch/images/canyon_00001289.jpg,./data/FirstBatch/labels/canyon_00001289_maskSA_9.jpg
22,canyon,./data/FirstBatch/images/canyon_00001289.jpg,./data/FirstBatch/labels/canyon_00001289_maskBox_4.jpg
23,canyon,./data/FirstBatch/images/canyon_00001289.jpg,./data/FirstBatch/labels/canyon_00001289_maskBox_1.jpg
